LTLA25CD,LTLA25NM,ITL1CD,ITL1
E06000001,Hartlepool,TLC,North East (England)
E06000002,Middlesbrough,TLC,North East (England)
E06000003,Redcar and Cleveland,TLC,North East (England)
E06000004,Stockton-on-Tees,TLC,North East (England)
E06000005,Darlington,TLC,North East (England)
E06000006,Halton,TLD,North West (England)
E06000007,Warrington,TLD,North West (England)
E06000008,Blackburn with Darwen,TLD,North West (England)
E06000009,Blackpool,TLD,North West (England)
E06000010,"Kingston upon Hull, City of",TLE,Yorkshire and The Humber
E06000011,East Riding of Yorkshire,TLE,Yorkshire and The Humber
E06000012,North East Lincolnshire,TLE,Yorkshire and The Humber
E06000013,North Lincolnshire,TLE,Yorkshire and The Humber
E06000014,York,TLE,Yorkshire and The Humber
E06000015,Derby,TLF,East Midlands (England)
E06000016,Leicester,TLF,East Midlands (England)
E06000017,Rutland,TLF,East Midlands (England)
E06000018,Nottingham,TLF,East Midlands (England)
E06000019,"Herefordshire, County of",TLG,West Midlands (England)
E06000020,Telford and Wrekin,TLG,West Midlands (England)
E06000021,Stoke-on-Trent,TLG,West Midlands (England)
E06000022,Bath and North East Somerset,TLK,South West (England)
E06000023,"Bristol, City of",TLK,South West (England)
E06000024,North Somerset,TLK,South West (England)
E06000025,South Gloucestershire,TLK,South West (England)
E06000026,Plymouth,TLK,South West (England)
E06000027,Torbay,TLK,South West (England)
E06000030,Swindon,TLK,South West (England)
E06000031,Peterborough,TLH,East (England)
E06000032,Luton,TLH,East (England)
E06000033,Southend-on-Sea,TLH,East (England)
E06000034,Thurrock,TLH,East (England)
E06000035,Medway,TLJ,South East (England)
E06000036,Bracknell Forest,TLJ,South East (England)
E06000037,West Berkshire,TLJ,South East (England)
E06000038,Reading,TLJ,South East (England)
E06000039,Slough,TLJ,South East (England)
E06000040,Windsor and Maidenhead,TLJ,South East (England)
E06000041,Wokingham,TLJ,South East (England)
E06000042,Milton Keynes,TLJ,South East (England)
E06000043,Brighton and Hove,TLJ,South East (England)
E06000044,Portsmouth,TLJ,South East (England)
E06000045,Southampton,TLJ,South East (England)
E06000046,Isle of Wight,TLJ,South East (England)
E06000047,County Durham,TLC,North East (England)
E06000049,Cheshire East,TLD,North West (England)
E06000050,Cheshire West and Chester,TLD,North West (England)
E06000051,Shropshire,TLG,West Midlands (England)
E06000052,Cornwall,TLK,South West (England)
E06000053,Isles of Scilly,TLK,South West (England)
E06000054,Wiltshire,TLK,South West (England)
E06000055,Bedford,TLH,East (England)
E06000056,Central Bedfordshire,TLH,East (England)
E06000057,Northumberland,TLC,North East (England)
E06000058,"Bournemouth, Christchurch and Poole",TLK,South West (England)
E06000059,Dorset,TLK,South West (England)
E06000060,Buckinghamshire,TLJ,South East (England)
E06000061,North Northamptonshire,TLF,East Midlands (England)
E06000062,West Northamptonshire,TLF,East Midlands (England)
E06000063,Cumberland,TLD,North West (England)
E06000064,Westmorland and Furness,TLD,North West (England)
E06000065,North Yorkshire,TLE,Yorkshire and The Humber
E06000066,Somerset,TLK,South West (England)
E07000008,Cambridge,TLH,East (England)
E07000009,East Cambridgeshire,TLH,East (England)
E07000010,Fenland,TLH,East (England)
E07000011,Huntingdonshire,TLH,East (England)
E07000012,South Cambridgeshire,TLH,East (England)
E07000032,Amber Valley,TLF,East Midlands (England)
E07000033,Bolsover,TLF,East Midlands (England)
E07000034,Chesterfield,TLF,East Midlands (England)
E07000035,Derbyshire Dales,TLF,East Midlands (England)
E07000036,Erewash,TLF,East Midlands (England)
E07000037,High Peak,TLF,East Midlands (England)
E07000038,North East Derbyshire,TLF,East Midlands (England)
E07000039,South Derbyshire,TLF,East Midlands (England)
E07000040,East Devon,TLK,South West (England)
E07000041,Exeter,TLK,South West (England)
E07000042,Mid Devon,TLK,South West (England)
E07000043,North Devon,TLK,South West (England)
E07000044,South Hams,TLK,South West (England)
E07000045,Teignbridge,TLK,South West (England)
E07000046,Torridge,TLK,South West (England)
E07000047,West Devon,TLK,South West (England)
E07000061,Eastbourne,TLJ,South East (England)
E07000062,Hastings,TLJ,South East (England)
E07000063,Lewes,TLJ,South East (England)
